LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
10120,21450,"(1, 0, 2)","(0, 1, 1, 12)",0.5521567964749243,-0.4732987523259044,0.027141017839895747,-1.0304544249192127,2.9471319850389657,sarima_lambx_10120_lamby_21450.pkl
10120,21530,"(1, 0, 2)","(0, 1, 1, 12)",0.6522577962104453,-0.5682308985084557,0.014911713745050854,-1.0621512110875733,2.6908685651623947,sarima_lambx_10120_lamby_21530.pkl
10120,21610,"(1, 0, 2)","(0, 1, 1, 12)",0.7809873922226842,-0.6829795753053927,-0.033834431600145584,-0.9292754415496371,2.8250256122360757,sarima_lambx_10120_lamby_21610.pkl
10120,21690,"(1, 0, 2)","(0, 1, 1, 12)",0.5796468849984807,-0.49919580603399133,0.024744293184696942,-1.0400513718090083,2.8643998034186122,sarima_lambx_10120_lamby_21690.pkl
10120,21770,"(1, 0, 2)","(0, 1, 1, 12)",0.6648565877571064,-0.5795062106682787,0.009233744523076898,-1.0651068989584669,2.645098382057734,sarima_lambx_10120_lamby_21770.pkl
10120,21850,"(1, 0, 2)","(0, 1, 1, 12)",0.7814299753667949,-0.6923103103580213,-0.01311473458059527,-1.083807153694728,2.5861094915026595,sarima_lambx_10120_lamby_21850.pkl
10120,21930,"(1, 0, 2)","(0, 1, 1, 12)",0.8765132347029779,-0.7715493737016482,-0.04098695744604708,-1.099944221398205,2.6605580487592855,sarima_lambx_10120_lamby_21930.pkl
10120,22010,"(1, 0, 2)","(0, 1, 1, 12)",0.9579016246094602,-0.8354228234636796,-0.06391796807232233,-0.9211949235725931,3.438143938106916,sarima_lambx_10120_lamby_22010.pkl
10120,22170,"(1, 0, 2)","(0, 1, 1, 12)",1.0021903496468298,-0.8944807984114939,-0.08462583748259049,-1.0657125996441745,3.032928470807391,sarima_lambx_10120_lamby_22170.pkl
10120,22090,"(1, 0, 2)","(0, 1, 1, 12)",1.0000723426271156,-0.8994444309945939,-0.07831314964214517,-1.0639437551265765,3.0504037294592035,sarima_lambx_10120_lamby_22090.pkl
10120,22250,"(1, 0, 2)","(0, 1, 1, 12)",0.9710558298676173,-0.850013558509577,-0.06919539909863305,-1.0831266259589623,2.963994157265664,sarima_lambx_10120_lamby_22250.pkl
10120,22330,"(1, 0, 2)","(0, 1, 1, 12)",0.9951498338673005,-0.8848974088578755,-0.07937483508417659,-1.07383537604857,3.0239402451540602,sarima_lambx_10120_lamby_22330.pkl
10120,22410,"(1, 0, 2)","(0, 1, 1, 12)",0.9955172465898989,-0.8849221176641694,-0.07969577131111864,-1.0739674560378485,3.02989964337874,sarima_lambx_10120_lamby_22410.pkl
10120,22490,"(1, 0, 2)","(0, 1, 1, 12)",0.9912548001744427,-0.8813347321467742,-0.07814483660881386,-0.9301710347936553,3.459089977318547,sarima_lambx_10120_lamby_22490.pkl
10120,22570,"(1, 0, 2)","(0, 1, 1, 12)",0.8989840078538406,-0.788499115171675,-0.06214361898259878,-1.0874546409953052,2.883431695462673,sarima_lambx_10120_lamby_22570.pkl
10120,22650,"(1, 0, 2)","(0, 1, 1, 12)",0.38306546112426937,-0.27716071603436,0.016164842538817985,-1.082568091356215,2.8389364879275343,sarima_lambx_10120_lamby_22650.pkl
10120,22730,"(1, 0, 2)","(0, 1, 1, 12)",0.9162087975612185,-0.8050133209170726,-0.06311402099969063,-1.0901132916276983,2.848082073612104,sarima_lambx_10120_lamby_22730.pkl
10120,22810,"(1, 0, 2)","(0, 1, 1, 12)",0.9684771302685746,-0.8559017704231892,-0.07205371749053428,-0.9239418083106341,3.4603256692461835,sarima_lambx_10120_lamby_22810.pkl
10120,22890,"(1, 0, 2)","(0, 1, 1, 12)",0.8453598770002397,-0.7373980264013046,-0.056756683144693454,-1.0839857029223467,2.860839208654298,sarima_lambx_10120_lamby_22890.pkl
10120,22970,"(1, 0, 2)","(0, 1, 1, 12)",0.3404049787463966,-0.23873144909266122,0.01723588006153956,-1.0693932079659048,2.8598356983584634,sarima_lambx_10120_lamby_22970.pkl
10120,23050,"(1, 0, 2)","(0, 1, 1, 12)",0.3557991898569162,-0.252428014950989,0.01708009948678684,-1.0748680516629565,2.8468607368521135,sarima_lambx_10120_lamby_23050.pkl
10120,23130,"(1, 0, 2)","(0, 1, 1, 12)",0.8940150884782061,-0.7835653610277885,-0.062083374531491,-1.0870400244348764,2.8794272614569936,sarima_lambx_10120_lamby_23130.pkl
10120,23290,"(1, 0, 2)","(0, 1, 1, 12)",0.927833605555409,-0.8109532119198778,-0.06118003023343597,-0.9155662678446045,3.675550255760662,sarima_lambx_10120_lamby_23290.pkl
10120,23450,"(1, 0, 2)","(0, 1, 1, 12)",0.9278150596996685,-0.8162383130261571,-0.05269009882286493,-0.922582198299451,3.4780310181835876,sarima_lambx_10120_lamby_23450.pkl
10120,23370,"(1, 0, 2)","(0, 1, 1, 12)",0.942433509215365,-0.8307437974906015,-0.05738745867662827,-0.9197144420989292,3.5709512828109964,sarima_lambx_10120_lamby_23370.pkl
